YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201904,134470,805674,1,.91,"SW","DAISETTA",30.11,-94.64,306600,9438400
201904,134477,805756,1,0,"N","LAKEVIEW",34.67,-100.7,3440200,10042000
201904,134477,805756,2,.89,"NW","MEMPHIS",34.73,-100.54,3443800,10032400
201904,134477,805762,1,14.77,"W","LOCO",34.72,-100.41,3443200,10024600
201904,134477,805762,2,3.18,"S","ARLIE",34.6741,-100.083,3440446,1004980
201904,134509,805931,1,5.58,"NNW","PAIGE",36.25,-119.47,3615000,11928200
201904,134509,805933,1,0,"N","LEMOORE",36.3,-119.78,3618000,11946800
201904,134513,805987,1,8.93,"ENE","JUSTICEBURG",33.06,-101.05,333600,1013000
201904,134513,805988,1,3.67,"ENE","WOLFFORTH",33.5129,-101.9581,3330774,10157486
201904,134513,805988,2,1.5,"SSW","DOUD",33.55,-101.94,3333000,10156400
201904,134513,805989,1,2.22,"NE","JUSTICEBURG",33.05,-101.17,333000,10110200
201904,134513,805990,1,5.21,"W","CLAIREMONT",33.17,-100.84,3310200,10050400
201904,134513,805991,1,.69,"N","TULIA",34.54,-101.77,3432400,10146200
201904,134513,805992,1,.57,"S","JAYTON",33.2418,-100.5791,3314508,10034746
201904,134513,805992,2,.58,"E","JAYTON",33.25,-100.57,3315000,10034200
201904,134513,805994,1,7.32,"NNE","AUGUSTUS",33.2265,-101.2477,3313590,10114862
201904,134513,805994,2,2.62,"SSW","AUGUSTUS",33.0975,-101.3234,335850,10119404
201904,134513,805994,3,.79,"NW","JUSTICEBURG",33.0386,-101.2089,332316,10112534
201904,134513,805994,4,10.76,"NE","AUGUSTUS",33.2217,-101.1497,3313302,1018982
201904,134541,806137,1,2.36,"ENE","PORT O'CONNOR",28.4458,-96.3955,2826748,9623730
201904,134541,806138,1,25.04,"WSW","SARGENT",28.5911,-95.9826,2835466,9558956
201904,134541,806139,1,2.77,"ESE","FREEPORT",28.9285,-95.2913,2855710,9517478
201904,134541,806140,1,.37,"SSE","CLEAR LAKE",29.5649,-95.0683,2933894,954098
201904,134541,806141,1,4.02,"SSW","GALVESTON",29.2489,-94.852,2914934,9451120
201904,134541,806142,1,0,"N","NORTH JETTY",29.37,-94.73,2922200,9443800
201904,134543,806180,1,0,"N","SOMERVILLE",34.47,-86.8,3428200,8648000
201904,134543,806181,1,1.33,"WNW","TALUCAH",34.56,-86.7,3433600,8642000
201904,134856,808371,1,3.56,"NNE","LOWER TAMPA BAY",27.663,-82.618,2739780,8237080
